category,n,reliability,n_players,ci_lo,ci_hi
sg_ott,5,0.4085776465789642,1731,0.3812683755101129,0.43644472767146736
sg_app,5,0.22878897105096221,1731,0.2025722844892376,0.25593512115356487
sg_arg,5,0.1389637954721968,1731,0.11886949239040835,0.15665123874294123
sg_putt,5,0.12072464030241772,1731,0.10108491837807441,0.1408293076961579
sg_total_calc,5,0.2785372333463092,1731,0.25385837939592154,0.3043262472375491
sg_ott,10,0.5636380079476535,1405,0.5366681890704599,0.5863323160054779
sg_app,10,0.3176212151165033,1405,0.28653706638508775,0.34986139232689034
sg_arg,10,0.24362330053938905,1405,0.2179684892438289,0.26775937913183534
sg_putt,10,0.20030213483141246,1405,0.17665059491806862,0.22480885532948114
sg_total_calc,10,0.3913626256059379,1405,0.36329918812081674,0.41822579495781953
sg_ott,15,0.6374391106646664,1262,0.6130102382224996,0.659238550078724
sg_app,15,0.37035998703140727,1262,0.3398011408765213,0.40211543762648005
sg_arg,15,0.30221534615961887,1262,0.274337189295247,0.3304537520986946
sg_putt,15,0.2636318990046801,1262,0.23648254114074949,0.2940564267648322
sg_total_calc,15,0.45261967516474877,1262,0.4218511320349065,0.48529807491034654
sg_ott,20,0.6931695634653416,1136,0.6688651153073526,0.7148064658075973
sg_app,20,0.42473485473697287,1136,0.38978792013954944,0.46016703179312574
sg_arg,20,0.3594359398839725,1136,0.32936934981244625,0.3877355025024505
sg_putt,20,0.29608254198964207,1136,0.27117514660020464,0.3233756672917476
sg_total_calc,20,0.49148591609860615,1136,0.457786150197717,0.5251003798562361
sg_ott,25,0.7369016265805487,1033,0.7138414825337671,0.7557633623871878
sg_app,25,0.46291685986130476,1033,0.42392596351167056,0.4991128689333227
sg_arg,25,0.3915348714635201,1033,0.36249774791227574,0.41795703327661166
sg_putt,25,0.33510403699720265,1033,0.30823132571833584,0.36270859571265435
sg_total_calc,25,0.5237849816446736,1033,0.48748540616177505,0.5551447591065883
sg_ott,30,0.7588631800087181,921,0.7340706620707915,0.7791433046545947
sg_app,30,0.4967169877742623,921,0.4568902654291777,0.5363037669587097
sg_arg,30,0.4252678985298489,921,0.39559067949712373,0.4547947603581166
sg_putt,30,0.37341169713223343,921,0.34360856622034164,0.4045620908147774
sg_total_calc,30,0.545356245428144,921,0.5053323355353965,0.5814757321779942
sg_ott,40,0.794730491843481,764,0.7711519724558494,0.8141547250759743
sg_app,40,0.5489033438808446,764,0.5002449452895953,0.5961569470490465
sg_arg,40,0.48310957343281474,764,0.4491880261213485,0.5131959400537746
sg_putt,40,0.4465987857613702,764,0.40942586209141546,0.4812121690696748
sg_total_calc,40,0.5855399943780326,764,0.5418000132871108,0.6251135508317752
sg_ott,50,0.8198726481264232,600,0.7945322692026422,0.8403735324716954
sg_app,50,0.585352591634069,600,0.5453896426798842,0.6214782509019635
sg_arg,50,0.540957624083249,600,0.5023513012209531,0.5744395473663458
sg_putt,50,0.5070081818983604,600,0.4687674151708515,0.5437401991068338
sg_total_calc,50,0.6053880708470986,600,0.559761654424958,0.6443611619633941
sg_ott,60,0.8165881780901788,386,0.7835286575159062,0.8416395508385544
sg_app,60,0.5818354644572019,386,0.5212239516341608,0.6318368424868885
sg_arg,60,0.5734580375703255,386,0.533406352152784,0.6124365983347013
sg_putt,60,0.5511221191309198,386,0.5060159149279146,0.5961620661881348
sg_total_calc,60,0.5928441281561517,386,0.5289102573396148,0.6491527538146297
