category,n,reliability,n_players
sg_ott,5,0.26107503398830245,386
sg_app,5,0.10416720985812619,386
sg_arg,5,0.10968630479094639,386
sg_putt,5,0.09416537275353963,386
sg_total_calc,5,0.11661524988458806,386
sg_ott,10,0.4254578273654609,386
sg_app,10,0.18955196554921336,386
sg_arg,10,0.1870821422653384,386
sg_putt,10,0.17356934070191993,386
sg_total_calc,10,0.20104776491798526,386
sg_ott,15,0.5218835464801369,386
sg_app,15,0.25403542276425956,386
sg_arg,15,0.24873178489872103,386
sg_putt,15,0.2379541338046382,386
sg_total_calc,15,0.2684275599093986,386
sg_ott,20,0.5955901620308522,386
sg_app,20,0.3158105391848434,386
sg_arg,20,0.30937781713935175,386
sg_putt,20,0.29422036355288367,386
sg_total_calc,20,0.33052916335560334,386
sg_ott,25,0.6503713317259218,386
sg_app,25,0.3647507589873195,386
sg_arg,25,0.3588119939288636,386
sg_putt,25,0.3446582708541758,386
sg_total_calc,25,0.3813750929256022,386
sg_ott,30,0.6910895608104286,386
sg_app,30,0.4092430421437158,386
sg_arg,30,0.4043454839719472,386
sg_putt,30,0.3840124865442272,386
sg_total_calc,30,0.4245035928406461,386
sg_ott,40,0.7483016652353853,386
sg_app,40,0.48039629053582894,386
sg_arg,40,0.4764784052759928,386
sg_putt,40,0.44942140415680953,386
sg_total_calc,40,0.49460424093985206,386
sg_ott,50,0.7869156039954427,386
sg_app,50,0.5383142160521883,386
sg_arg,50,0.5288597095436728,386
sg_putt,50,0.506733482438208,386
sg_total_calc,50,0.5498424544629791,386
sg_ott,60,0.8165881780901788,386
sg_app,60,0.5818354644572019,386
sg_arg,60,0.5734580375703255,386
sg_putt,60,0.5511221191309198,386
sg_total_calc,60,0.5928441281561517,386
